,Polarization_bool,retweetCount
0,-1,450
1,-1,1593
2,-1,1062
3,-1,260
4,1,271
5,-1,415
6,-1,356
7,1,931
8,1,4616
9,-1,620
10,1,3429
11,-1,235
12,1,1130
13,-1,273
14,1,440
15,-1,363
16,-1,3749
17,0,474
18,-1,4651
19,1,1374
20,-1,2665
21,1,1173
22,1,9353
23,0,1683
24,1,141
25,-1,1121
26,-1,383
27,-1,221
28,-1,319
29,0,370
30,-1,440
31,-1,2615
32,1,710
33,-1,2501
34,1,450
35,-1,851
36,0,899
37,-1,216
38,0,1473
39,1,384
40,-1,1565
41,-1,518
42,0,3874
43,-1,3555
44,-1,336
45,0,803
46,0,852
47,1,275
48,-1,243
49,-1,700
50,0,503
51,-1,278
52,0,217
53,1,2565
54,1,232
55,1,281
56,1,2355
57,0,366
58,-1,417
59,0,713
60,1,1792
61,1,796
62,1,1420
63,1,3354
64,-1,7521
65,-1,248
66,-1,510
67,1,545
68,0,9530
69,1,572
70,1,7710
71,1,218
72,1,888
73,-1,530
74,1,598
75,0,1307
76,-1,1479
77,-1,260
78,1,600
79,1,2187
80,-1,1109
81,-1,128
82,1,456
83,-1,780
84,1,776
85,0,2247
86,-1,2874
87,1,869
88,1,335
89,0,644
90,-1,562
91,1,671
92,-1,744
93,0,417
94,-1,165
95,1,307
96,1,207
97,1,1627
98,-1,221
99,1,736
100,1,408
101,-1,2600
102,1,8433
103,-1,265
104,0,745
105,-1,774
106,-1,700
107,1,3466
108,1,692
109,1,1797
110,-1,932
111,-1,2142
112,-1,315
113,-1,1371
114,1,2808
115,1,3704
116,0,501
117,1,1139
118,0,567
119,1,783
120,0,833
121,-1,2448
122,0,302
123,0,287
124,1,890
125,-1,527
126,1,825
127,-1,1430
128,1,865
129,1,577
130,-1,3222
131,-1,3549
132,1,362
133,1,580
134,1,6407
135,-1,639
136,1,785
137,-1,921
138,-1,13804
139,1,905
140,-1,3093
141,1,7189
142,0,3301
143,-1,252
144,1,387
145,-1,2564
146,1,4799
147,1,2288
148,-1,1399
149,-1,603
150,0,235
151,-1,1548
152,1,6883
153,-1,959
154,1,3450
155,1,412
156,-1,344
157,-1,2002
158,-1,1766
159,-1,221
160,1,5587
161,1,594
162,0,332
163,-1,3443
164,-1,1024
165,1,581
166,1,309
167,0,356
168,1,4048
169,1,4282
170,1,2254
171,-1,694
172,0,2348
173,-1,7157
174,1,2736
175,1,391
176,1,1775
177,-1,1621
178,0,411
179,1,1358
180,-1,1350
181,1,2916
182,1,422
183,-1,477
184,1,1547
185,-1,280
186,0,288
187,-1,1058
188,1,1836
189,1,1859
190,0,233
191,1,2945
192,0,458
193,1,250
194,1,3438
195,1,1701
196,1,1123
197,-1,1204
198,1,1446
199,1,1014
200,-1,549
201,1,1380
202,1,3446
203,1,476
204,1,2602
205,1,896
206,-1,2082
207,1,3557
208,1,2101
209,-1,798
210,1,919
211,-1,1806
212,1,2286
213,-1,1624
214,0,4904
215,1,1411
216,1,788
217,0,3593
218,-1,3384
219,1,571
220,1,767
221,1,605
222,1,1385
223,-1,1335
224,1,282
225,-1,723
226,1,1334
227,-1,18357
228,1,1380
229,1,1301
230,-1,1783
231,-1,305
232,1,887
233,-1,2891
234,1,2330
235,-1,392
236,1,2557
237,1,397
238,1,460
239,0,454
240,-1,1190
241,-1,247
242,-1,362
243,0,1418
244,1,2213
245,1,596
246,1,3668
247,1,648
248,-1,377
249,-1,1043
250,-1,2068
251,-1,791
252,-1,242
253,1,1336
254,1,599
255,1,1067
256,0,565
257,1,329
258,1,861
259,0,570
260,1,1262
261,-1,12396
262,1,1684
263,-1,266
264,1,5186
265,-1,1306
266,1,1250
267,1,7672
268,1,2044
269,1,723
270,1,629
271,1,1287
272,1,573
273,-1,291
274,1,744
275,1,419
276,1,199
277,0,540
278,-1,1280
279,1,578
280,-1,1168
281,1,3247
282,-1,586
283,1,2148
284,-1,1438
285,-1,11558
286,1,510
287,0,1421
288,-1,435
289,0,1309
290,-1,3324
291,1,790
292,-1,2942
293,1,793
294,-1,1071
295,1,2140
296,1,2726
297,1,232
298,-1,548
299,1,745
300,-1,4040
301,-1,679
302,1,1384
303,-1,408
304,1,161
305,0,383
306,-1,1624
307,1,5138
308,1,2193
309,-1,304
310,1,1855
311,-1,1878
312,1,550
313,1,618
314,1,567
315,-1,1273
316,1,826
317,-1,1474
318,1,531
319,0,607
320,1,1174
321,1,1549
322,-1,703
323,0,281
324,1,2020
325,1,627
326,1,2043
327,1,901
328,1,1825
329,1,15322
330,1,9233
331,1,14496
332,1,457
333,1,809
334,-1,1090
335,1,11204
336,1,1025
337,1,573
338,-1,1483
339,1,2172
340,0,1141
341,1,395
342,-1,779
343,-1,789
344,1,3443
345,1,3155
346,0,619
347,1,435
348,1,351
349,1,729
350,1,2908
351,-1,5133
352,-1,1904
353,1,2384
354,1,497
355,1,1936
356,-1,2601
357,0,717
358,-1,4494
359,1,772
360,1,1674
361,1,426
362,-1,353
363,1,4687
364,-1,1108
365,1,1493
366,-1,1498
367,1,1239
368,1,553
369,1,3037
370,1,643
371,-1,1157
372,1,218
373,-1,1566
374,1,550
375,-1,1669
376,-1,574
377,1,3301
378,1,546
379,-1,17261
380,1,2012
381,-1,793
382,1,3648
383,-1,572
384,-1,831
385,0,1072
386,1,982
387,-1,4707
388,1,7215
389,1,605
390,1,746
391,1,795
392,-1,1657
393,1,5667
394,1,456
395,1,241
396,-1,310
397,1,904
398,1,1870
399,-1,3858
400,0,931
401,-1,374
402,1,2263
403,0,885
404,1,6569
405,-1,168
406,1,798
407,-1,20091
408,-1,1066
409,1,1544
410,-1,1352
411,1,1277
412,-1,961
413,1,308
414,1,2329
415,-1,1371
416,1,1243
417,1,2000
418,1,6442
419,1,5037
420,1,287
421,-1,897
422,1,1394
423,1,899
424,-1,1702
425,-1,211
426,1,370
427,1,530
428,1,12743
429,1,386
430,-1,4932
431,1,508
432,1,2625
433,1,491
434,1,891
435,1,1463
436,1,2579
437,-1,719
438,-1,1230
439,1,408
440,-1,1424
441,1,3675
442,-1,1741
443,1,1237
444,-1,347
